competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0003,DUDINA Kristina,MALCA Tamar,DUDINA Kristina,Israel,Russian Federation,86.02,Juji-gatame,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0003,LILUASHVILI Dali,LILUASHVILI Dali,ALIZADA Fidan,Russian Federation,Azerbaijan,99.23,Sode-tsurikomi-goshi,Ippon,30
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0003,YULDOSHOVA Shirinjon,AGHAYEVA Sudaba,YULDOSHOVA Shirinjon,Azerbaijan,Uzbekistan,7.80,Fusen-Gachi,Ippon,121
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0003,STARTSEVA Elis,STARTSEVA Elis,RADIC Tina,Russian Federation,Croatia,152.08,Yoko-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0003,STARTSEVA Elis,STARTSEVA Elis,RADIC Tina,Russian Federation,Croatia,152.08,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0003,NAIRNE Ethan,KLACAR Robert,NAIRNE Ethan,Croatia,Great Britain,53.57,Illegal-Grip-Breaking,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0003,NAIRNE Ethan,KLACAR Robert,NAIRNE Ethan,Croatia,Great Britain,85.32,Sumi-otoshi,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0003,MENDIOLA IZQUIETA Jose Maria,MENDIOLA IZQUIETA Jose Maria,LIMA David,Spain,Brazil,161.28,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0003,MENDIOLA IZQUIETA Jose Maria,MENDIOLA IZQUIETA Jose Maria,LIMA David,Spain,Brazil,436.00,Yoko-shiho-gatame,Yuko,25
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0003,MENDIOLA IZQUIETA Jose Maria,MENDIOLA IZQUIETA Jose Maria,LIMA David,Spain,Brazil,436.00,Osaekomi,Yuko,124
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0003,KUMRIC Zlatko,BARRATT Oliver,KUMRIC Zlatko,Great Britain,Croatia,113.04,Sasae-tsurikomi-ashi,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0003,KUMRIC Zlatko,BARRATT Oliver,KUMRIC Zlatko,Great Britain,Croatia,136.05,Sumi-gaeshi,Waza-ari,31
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0003,KUMRIC Zlatko,BARRATT Oliver,KUMRIC Zlatko,Great Britain,Croatia,150.00,Kesa-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0003,KUMRIC Zlatko,BARRATT Oliver,KUMRIC Zlatko,Great Britain,Croatia,150.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0003,SORDYL Jakub,SORDYL Jakub,ABRAMOV Erik,Poland,Germany,99.01,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0003,SORDYL Jakub,SORDYL Jakub,ABRAMOV Erik,Poland,Germany,149.05,Uki-otoshi,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0003,SORDYL Jakub,SORDYL Jakub,ABRAMOV Erik,Poland,Germany,227.81,O-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0003,SORDYL Jakub,SORDYL Jakub,ABRAMOV Erik,Poland,Germany,325.05,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0003,SORDYL Jakub,SORDYL Jakub,ABRAMOV Erik,Poland,Germany,325.05,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0004,SLAZOK Wiktoria,SLAZOK Wiktoria,RODRIGUEZ SALVADOR Mireia,Poland,Spain,85.69,Cancel Yuko,Waza-ari,123
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0004,SLAZOK Wiktoria,SLAZOK Wiktoria,RODRIGUEZ SALVADOR Mireia,Poland,Spain,85.69,O-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0004,SLAZOK Wiktoria,SLAZOK Wiktoria,RODRIGUEZ SALVADOR Mireia,Poland,Spain,307.01,Yoko-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0004,SLAZOK Wiktoria,SLAZOK Wiktoria,RODRIGUEZ SALVADOR Mireia,Poland,Spain,307.01,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0004,CAPANNI DIAS Thauany David,LIN Qianyi,CAPANNI DIAS Thauany David,People's Republic of China,Italy,27.73,Okuri-eri-jime,Ippon,27
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0004,KURBANBAEVA Iriskhon,KURBANBAEVA Iriskhon,TOISHIBEKOVA Aida,Uzbekistan,Kazakhstan,220.80,Tani-otoshi,Ippon,35
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,209.01,Ura-nage,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,239.00,Cancel Yuko,Waza-ari,123
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,239.00,O-soto-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,258.03,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,258.03,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0004,HEGYI Stephan,BAEK Dusan,HEGYI Stephan,Republic of Korea,Austria,32.74,Cancel Yuko,No score,123
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0004,HEGYI Stephan,BAEK Dusan,HEGYI Stephan,Republic of Korea,Austria,35.66,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0004,HEGYI Stephan,BAEK Dusan,HEGYI Stephan,Republic of Korea,Austria,123.22,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0004,HEGYI Stephan,BAEK Dusan,HEGYI Stephan,Republic of Korea,Austria,194.94,Sasae-tsurikomi-ashi,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0005,HAMIDOVA Shafag,ABUZHAKYNOVA Abiba,HAMIDOVA Shafag,Kazakhstan,Azerbaijan,25.80,O-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0005,HAMIDOVA Shafag,ABUZHAKYNOVA Abiba,HAMIDOVA Shafag,Kazakhstan,Azerbaijan,222.02,Tani-otoshi,Yuko,35
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0005,HAMIDOVA Shafag,ABUZHAKYNOVA Abiba,HAMIDOVA Shafag,Kazakhstan,Azerbaijan,266.74,Juji-gatame,Ippon,24
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,41.03,Uchi-mata,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,128.71,O-uchi-gaeshi,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,248.49,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,264.22,Uchi-mata,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0005,HUANG Fuchun,HUANG Fuchun,TSERENBAT Gan-Erdene,People's Republic of China,Mongolia,538.28,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0006,XIE Hongyan,RODONAIA Julieta,XIE Hongyan,Georgia,People's Republic of China,430.54,Cancel Yuko,No score,123
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0006,XIE Hongyan,RODONAIA Julieta,XIE Hongyan,Georgia,People's Republic of China,430.54,O-uchi-gari,No score,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0006,XIE Hongyan,RODONAIA Julieta,XIE Hongyan,Georgia,People's Republic of China,599.06,Yoko-shiho-gatame,No score,25
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0006,XIE Hongyan,RODONAIA Julieta,XIE Hongyan,Georgia,People's Republic of China,599.06,Osaekomi,No score,124
Qingdao Grand Prix 2026,2026-06-26,-52,gp_chn2026_0002_f_0052_0006,GERASIMOVA Iuna,EASTON Tinka,GERASIMOVA Iuna,Australia,Russian Federation,341.44,Outside-Contest-Area,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-52,gp_chn2026_0002_f_0052_0006,GERASIMOVA Iuna,EASTON Tinka,GERASIMOVA Iuna,Australia,Russian Federation,423.28,O-uchi-gaeshi,Ippon,29
Qingdao Grand Prix 2026,2026-06-26,-57,gp_chn2026_0002_f_0057_0006,BUDAK Aysenur,HUANG Yueying,BUDAK Aysenur,People's Republic of China,Türkiye,22.54,Sode-tsurikomi-goshi,Ippon,30
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0006,YILDIZ Ozlem,YILDIZ Ozlem,YUE Kangning,Türkiye,People's Republic of China,33.27,Sode-tsurikomi-goshi,Yuko,30
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0006,YILDIZ Ozlem,YILDIZ Ozlem,YUE Kangning,Türkiye,People's Republic of China,204.76,O-goshi,Yuko,30
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0006,SOMKHISHVILI Sophio,ENKHBAYAR Enkhzul,SOMKHISHVILI Sophio,Mongolia,Georgia,320.02,O-soto-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0006,SOMKHISHVILI Sophio,ENKHBAYAR Enkhzul,SOMKHISHVILI Sophio,Mongolia,Georgia,348.00,Kuzure-kesa-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0006,SOMKHISHVILI Sophio,ENKHBAYAR Enkhzul,SOMKHISHVILI Sophio,Mongolia,Georgia,348.00,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0006,NAERT Olivier,NAERT Olivier,GURBANBERDIYEV Ygtyyar,Belgium,Turkmenistan,97.97,Kata-Guruma,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0006,NAERT Olivier,NAERT Olivier,GURBANBERDIYEV Ygtyyar,Belgium,Turkmenistan,113.04,Kuzure-kami-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0006,NAERT Olivier,NAERT Olivier,GURBANBERDIYEV Ygtyyar,Belgium,Turkmenistan,113.04,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0006,ELBAZ Yehonatan,ELBAZ Yehonatan,LIN Gaohui,Israel,People's Republic of China,231.77,Hikikomi-gaeshi,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0006,ELBAZ Yehonatan,ELBAZ Yehonatan,LIN Gaohui,Israel,People's Republic of China,264.55,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0006,HERKOVIC Nace,HERKOVIC Nace,NURKOVIC Jahja,Slovenia,Montenegro,125.95,Illegal-Grip-Breaking,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0006,HERKOVIC Nace,HERKOVIC Nace,NURKOVIC Jahja,Slovenia,Montenegro,375.98,Sumi-gaeshi,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0006,SIVAN Roy,SANTAMARIA RODRIGUEZ Aharon,SIVAN Roy,Spain,Israel,197.01,O-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0006,ARSENIE Rares,BIRZHANOV Askar,ARSENIE Rares,Kazakhstan,Romania,330.00,Kuzure-kami-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0006,ARSENIE Rares,BIRZHANOV Askar,ARSENIE Rares,Kazakhstan,Romania,330.00,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0006,AGRO Sylvain Lorenzo,LIN Dong,AGRO Sylvain Lorenzo,People's Republic of China,Italy,165.00,Tani-otoshi,Waza-ari,35
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0007,BEDER Tugce,BEDER Tugce,IOVINO Anna,Türkiye,Italy,106.26,Ko-soto-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0007,BEDER Tugce,BEDER Tugce,IOVINO Anna,Türkiye,Italy,142.01,Tate-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0007,BEDER Tugce,BEDER Tugce,IOVINO Anna,Türkiye,Italy,142.01,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0007,SIMIC Nina,SIMIC Nina,TAIBI Chaimae,Croatia,Morocco,56.27,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0007,SIMIC Nina,SIMIC Nina,TAIBI Chaimae,Croatia,Morocco,213.03,Hikikomi-gaeshi,Waza-ari,31
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0007,SIMIC Nina,SIMIC Nina,TAIBI Chaimae,Croatia,Morocco,227.00,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0007,SIMIC Nina,SIMIC Nina,TAIBI Chaimae,Croatia,Morocco,227.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,61.00,Illegal-Grip-Breaking,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,125.24,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,269.23,O-soto-otoshi,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0007,SOBIERAJSKA Katarzyna,SOBIERAJSKA Katarzyna,GOSHEN Maya,Poland,Israel,442.26,O-soto-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0007,SKERLEV Victor,SKERLEV Victor,GOBERT Maxime,Bulgaria,France,379.24,Outside-Contest-Area,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0007,SKERLEV Victor,SKERLEV Victor,GOBERT Maxime,Bulgaria,France,502.49,Sumi-gaeshi,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0007,ZHUBANAZAR Abylaikhan,ZHUBANAZAR Abylaikhan,ZARAGKAS Aris,Kazakhstan,Greece,93.82,Hold-Sleeve-Ends,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0007,ZHUBANAZAR Abylaikhan,ZHUBANAZAR Abylaikhan,ZARAGKAS Aris,Kazakhstan,Greece,475.83,Cancel Yuko,No score,123
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0007,ZHUBANAZAR Abylaikhan,ZHUBANAZAR Abylaikhan,ZARAGKAS Aris,Kazakhstan,Greece,475.83,Ko-uchi-gari,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0007,SANGARIEV Adam,SANGARIEV Adam,REYES Kyle,Russian Federation,Canada,131.66,Tani-otoshi,Waza-ari,35
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0007,SANGARIEV Adam,SANGARIEV Adam,REYES Kyle,Russian Federation,Canada,218.23,Tani-otoshi,Yuko,35
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0007,PUUMALAINEN Martti,PUUMALAINEN Martti,LAHBOUB Mohammed,Finland,Morocco,120.25,Yoko-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0007,PUUMALAINEN Martti,PUUMALAINEN Martti,LAHBOUB Mohammed,Finland,Morocco,120.25,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0008,ANNIS Morgane,ANNIS Morgane,MURODOVA Sevinch,France,Uzbekistan,316.69,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0008,ANNIS Morgane,ANNIS Morgane,MURODOVA Sevinch,France,Uzbekistan,350.02,Hold-Trouser-Leg,Shido,113
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0008,TANIOKA Narumi,TANIOKA Narumi,NURULLOEVA Marjona,Japan,Uzbekistan,339.00,Yoko-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0008,TANIOKA Narumi,TANIOKA Narumi,NURULLOEVA Marjona,Japan,Uzbekistan,339.00,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0008,PARLATI Manuel,LI Zan,PARLATI Manuel,People's Republic of China,Italy,54.01,Hikikomi-gaeshi,Waza-ari,31
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0008,PARLATI Manuel,LI Zan,PARLATI Manuel,People's Republic of China,Italy,163.46,Seoi-nage,Ippon,33
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0008,KROUSSANIOTAKIS Georgios,JEDRZEJEWSKI Michal,KROUSSANIOTAKIS Georgios,Poland,Cyprus,73.24,Hikikomi-gaeshi,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0008,KROUSSANIOTAKIS Georgios,JEDRZEJEWSKI Michal,KROUSSANIOTAKIS Georgios,Poland,Cyprus,223.50,Ippon-seoi-nage,Yuko,33
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0008,DOBRE Darius,ANTONIOU Giannis,DOBRE Darius,Cyprus,Romania,532.77,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0009,BIFOV Idar,BIFOV Idar,KARATAYEV Deniz,Russian Federation,Turkmenistan,174.57,Uchi-mata,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0010,MUMINOVIQ Erza,MUMINOVIQ Erza,JON Su Yon,Kosovo,Democratic People's Republic of Korea,135.99,Cancel Yuko,Waza-ari,123
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0010,MUMINOVIQ Erza,MUMINOVIQ Erza,JON Su Yon,Kosovo,Democratic People's Republic of Korea,135.99,Sumi-otoshi,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0010,MUMINOVIQ Erza,MUMINOVIQ Erza,JON Su Yon,Kosovo,Democratic People's Republic of Korea,321.97,O-uchi-gari,Yuko,29
