competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0001,OBERAN Iva,OBERAN Iva,PRIMO Kerem,Croatia,Israel,45.27,Defensive-Posture,Shido,112
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0001,OBERAN Iva,OBERAN Iva,PRIMO Kerem,Croatia,Israel,123.53,Hold-Sleeve-Ends,Shido,111
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0001,OBERAN Iva,OBERAN Iva,PRIMO Kerem,Croatia,Israel,234.52,Cancel Waza-ari,Yuko,123
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0001,OBERAN Iva,OBERAN Iva,PRIMO Kerem,Croatia,Israel,234.52,Ura-nage,Yuko,31
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0001,OBERAN Iva,OBERAN Iva,PRIMO Kerem,Croatia,Israel,340.01,Cancel Yuko,Ippon,123
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0001,OBERAN Iva,OBERAN Iva,PRIMO Kerem,Croatia,Israel,340.01,Sumi-gaeshi,Ippon,31
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0002,LEE Yoojin,GANBAATAR Byambasuren,LEE Yoojin,Mongolia,Republic of Korea,407.77,Ko-uchi-makikomi,Yuko,35
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0002,DEBERDT Gaetane,DEBERDT Gaetane,SANCHEZ BENITEZ Ariela,France,Spain,187.97,Tani-otoshi,Yuko,35
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0002,DEBERDT Gaetane,DEBERDT Gaetane,SANCHEZ BENITEZ Ariela,France,Spain,247.04,Cancel Waza-ari,Yuko,123
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0002,DEBERDT Gaetane,DEBERDT Gaetane,SANCHEZ BENITEZ Ariela,France,Spain,247.04,Yoko-guruma,Yuko,35
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0002,DEBERDT Gaetane,DEBERDT Gaetane,SANCHEZ BENITEZ Ariela,France,Spain,301.05,Tomoe-nage,Waza-ari,31
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0002,DEBERDT Gaetane,DEBERDT Gaetane,SANCHEZ BENITEZ Ariela,France,Spain,311.06,Kuzure-kesa-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0002,DEBERDT Gaetane,DEBERDT Gaetane,SANCHEZ BENITEZ Ariela,France,Spain,311.06,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0002,PETERSEN POLLARD Kelly,YANG Yuanjia,PETERSEN POLLARD Kelly,People's Republic of China,Great Britain,228.00,Yoko-shiho-gatame,Ippon,25
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0002,PETERSEN POLLARD Kelly,YANG Yuanjia,PETERSEN POLLARD Kelly,People's Republic of China,Great Britain,228.00,Osaekomi,Ippon,124
Qingdao Grand Prix 2026,2026-06-26,+78,gp_chn2026_0002_f_0p78_0002,SOLIMAN Safa,SOLIMAN Safa,KIM Soomin,Egypt,Republic of Korea,465.03,Seoi-nage,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0002,BASILE Fabio,GREEN Joshua,BASILE Fabio,Ireland,Italy,194.29,De-ashi-harai,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0002,BONFERRONI Aurelien,TOJIEV Arslonbek,BONFERRONI Aurelien,Uzbekistan,Switzerland,97.23,Ko-uchi-makikomi,Waza-ari,35
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0002,BONFERRONI Aurelien,TOJIEV Arslonbek,BONFERRONI Aurelien,Uzbekistan,Switzerland,171.23,Ko-uchi-gari,Yuko,29
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0002,BAATHE Karl,BAATHE Karl,ZDRALE Lazar,Sweden,Serbia,337.04,Uchi-mata,Waza-ari,29
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0002,BASHAEV Tamerlan,LI Ruixuan,BASHAEV Tamerlan,People's Republic of China,Russian Federation,108.24,Seoi-nage,Waza-ari,33
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0002,BASHAEV Tamerlan,LI Ruixuan,BASHAEV Tamerlan,People's Republic of China,Russian Federation,123.00,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25
Qingdao Grand Prix 2026,2026-06-26,+100,gp_chn2026_0001_m_p100_0002,BASHAEV Tamerlan,LI Ruixuan,BASHAEV Tamerlan,People's Republic of China,Russian Federation,123.00,Osaekomi,Waza-ari-awasete-ippon,124
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0003,DUDINA Kristina,MALCA Tamar,DUDINA Kristina,Israel,Russian Federation,53.02,Ura-nage,Yuko,31
