competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group,is_ippon
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0004,SLAZOK Wiktoria,SLAZOK Wiktoria,RODRIGUEZ SALVADOR Mireia,Poland,Spain,85.69,O-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0004,SLAZOK Wiktoria,SLAZOK Wiktoria,RODRIGUEZ SALVADOR Mireia,Poland,Spain,307.01,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0004,KURBANBAEVA Iriskhon,KURBANBAEVA Iriskhon,TOISHIBEKOVA Aida,Uzbekistan,Kazakhstan,220.8,Tani-otoshi,Ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,209.01,Ura-nage,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,239.0,O-soto-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0004,MAJANOV Baymyrat,CHAI Haozhuo,MAJANOV Baymyrat,People's Republic of China,Turkmenistan,258.03,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0004,HEGYI Stephan,BAEK Dusan,HEGYI Stephan,Republic of Korea,Austria,194.94,Sasae-tsurikomi-ashi,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0005,HAMIDOVA Shafag,ABUZHAKYNOVA Abiba,HAMIDOVA Shafag,Kazakhstan,Azerbaijan,25.8,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0005,HAMIDOVA Shafag,ABUZHAKYNOVA Abiba,HAMIDOVA Shafag,Kazakhstan,Azerbaijan,222.02,Tani-otoshi,Yuko,35,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0005,HAMIDOVA Shafag,ABUZHAKYNOVA Abiba,HAMIDOVA Shafag,Kazakhstan,Azerbaijan,266.74,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,41.03,Uchi-mata,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,128.71,O-uchi-gaeshi,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0005,FAZLIU Laura,FAZLIU Laura,BAUER Sara-Joy,Kosovo,Germany,264.22,Uchi-mata,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0005,HUANG Fuchun,HUANG Fuchun,TSERENBAT Gan-Erdene,People's Republic of China,Mongolia,538.28,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0006,XIE Hongyan,RODONAIA Julieta,XIE Hongyan,Georgia,People's Republic of China,430.54,O-uchi-gari,No score,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0006,XIE Hongyan,RODONAIA Julieta,XIE Hongyan,Georgia,People's Republic of China,599.06,Yoko-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,-52,gp_chn2026_0002_f_0052_0006,GERASIMOVA Iuna,EASTON Tinka,GERASIMOVA Iuna,Australia,Russian Federation,423.28,O-uchi-gaeshi,Ippon,29,True
